Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
16.06.2024 06:15;16.06.2024 06:30;1.965,50;2.099,50;134,00;939,75
16.06.2024 06:30;16.06.2024 06:45;1.964,00;2.134,00;170,00;875,25
16.06.2024 06:45;16.06.2024 07:00;1.970,00;2.200,00;230,00;764,50
16.06.2024 07:00;16.06.2024 07:15;2.029,75;2.214,50;184,75;723,75
16.06.2024 07:15;16.06.2024 07:30;2.104,75;2.293,50;188,75;706,50
16.06.2024 07:30;16.06.2024 07:45;2.124,25;2.354,75;230,50;597,25
16.06.2024 07:45;16.06.2024 08:00;2.152,00;2.390,50;238,50;507,75
16.06.2024 08:00;16.06.2024 08:15;2.204,75;2.390,00;185,25;486,00
16.06.2024 08:15;16.06.2024 08:30;2.251,50;2.440,25;188,75;399,50
16.06.2024 08:30;16.06.2024 08:45;2.306,50;2.538,00;231,50;307,50
16.06.2024 08:45;16.06.2024 09:00;2.259,75;2.508,25;248,50;118,50
16.06.2024 09:00;16.06.2024 09:15;2.331,25;2.540,75;209,50;39,50
16.06.2024 09:15;16.06.2024 09:30;2.365,50;2.616,75;251,25;-48,25
16.06.2024 09:30;16.06.2024 09:45;2.369,00;2.636,75;267,75;-121,75
16.06.2024 09:45;16.06.2024 10:00;2.357,00;2.669,75;312,75;-318,00
16.06.2024 10:00;16.06.2024 10:15;2.419,25;2.747,00;327,75;-390,25
16.06.2024 10:15;16.06.2024 10:30;2.391,00;2.770,25;379,25;-573,50
16.06.2024 10:30;16.06.2024 10:45;2.416,75;2.844,75;428,00;-603,50
16.06.2024 10:45;16.06.2024 11:00;2.448,75;2.876,50;427,75;-633,75
16.06.2024 11:00;16.06.2024 11:15;2.465,50;2.892,00;426,50;-693,75
16.06.2024 11:15;16.06.2024 11:30;2.523,75;2.949,75;426,00;-678,25
16.06.2024 11:30;16.06.2024 11:45;2.525,00;2.950,25;425,25;-745,50
16.06.2024 11:45;16.06.2024 12:00;2.530,25;2.955,00;424,75;-735,75
16.06.2024 12:00;16.06.2024 12:15;2.519,50;2.942,25;422,75;-812,00
16.06.2024 12:15;16.06.2024 12:30;2.532,50;2.954,75;422,25;-732,25
16.06.2024 12:30;16.06.2024 12:45;2.532,00;2.954,00;422,00;-810,00
16.06.2024 12:45;16.06.2024 13:00;2.510,00;2.932,00;422,00;-813,75
16.06.2024 13:00;16.06.2024 13:15;2.473,75;2.893,50;419,75;-779,25
16.06.2024 13:15;16.06.2024 13:30;2.473,00;2.893,25;420,25;-700,00
16.06.2024 13:30;16.06.2024 13:45;2.442,00;2.861,75;419,75;-676,50
16.06.2024 13:45;16.06.2024 14:00;2.474,50;2.893,75;419,25;-654,00
16.06.2024 14:00;16.06.2024 14:15;2.396,50;2.815,00;418,50;-616,25
16.06.2024 14:15;16.06.2024 14:30;2.388,00;2.806,50;418,50;-582,50
16.06.2024 14:30;16.06.2024 14:45;2.333,25;2.750,25;417,00;-517,00
16.06.2024 14:45;16.06.2024 15:00;2.322,50;2.739,50;417,00;-406,25
16.06.2024 15:00;16.06.2024 15:15;2.285,50;2.701,00;415,50;-355,75
16.06.2024 15:15;16.06.2024 15:30;2.295,25;2.662,25;367,00;-294,25
16.06.2024 15:30;16.06.2024 15:45;2.256,00;2.621,50;365,50;-261,25
16.06.2024 15:45;16.06.2024 16:00;2.329,00;2.695,75;366,75;-138,00
16.06.2024 16:00;16.06.2024 16:15;2.264,75;2.653,25;388,50;-194,25
16.06.2024 16:15;16.06.2024 16:30;2.226,25;2.567,50;341,25;-44,50
16.06.2024 16:30;16.06.2024 16:45;2.244,75;2.538,75;294,00;41,25
16.06.2024 16:45;16.06.2024 17:00;2.337,50;2.611,25;273,75;220,50
16.06.2024 17:00;16.06.2024 17:15;2.317,50;2.607,50;290,00;248,25
16.06.2024 17:15;16.06.2024 17:30;2.370,50;2.614,50;244,00;363,75
16.06.2024 17:30;16.06.2024 17:45;2.387,75;2.630,75;243,00;420,50
16.06.2024 17:45;16.06.2024 18:00;2.473,00;2.673,50;200,50;479,25
16.06.2024 18:00;16.06.2024 18:15;2.629,75;2.803,25;173,50;709,00
16.06.2024 18:15;16.06.2024 18:30;2.642,50;2.772,00;129,50;804,25
16.06.2024 18:30;16.06.2024 18:45;2.647,25;2.709,00;61,75;975,00
16.06.2024 18:45;16.06.2024 19:00;2.650,50;2.708,25;57,75;1.239,50
16.06.2024 19:00;16.06.2024 19:15;2.648,25;2.698,25;50,00;1.436,25
16.06.2024 19:15;16.06.2024 19:30;2.668,50;2.677,00;8,50;1.584,00
16.06.2024 19:30;16.06.2024 19:45;2.673,25;2.673,50;0,25;1.738,25
16.06.2024 19:45;16.06.2024 20:00;2.594,75;2.595,00;0,25;1.807,00
16.06.2024 20:00;16.06.2024 20:15;2.612,75;2.613,00;0,25;1.931,25
16.06.2024 20:15;16.06.2024 20:30;2.578,00;2.578,00;0,00;1.988,25
16.06.2024 20:30;16.06.2024 20:45;2.583,50;2.583,50;0,00;2.069,75
16.06.2024 20:45;16.06.2024 21:00;2.556,50;2.556,50;0,00;2.107,75
16.06.2024 21:00;16.06.2024 21:15;2.500,00;2.500,00;0,00;2.129,00
16.06.2024 21:15;16.06.2024 21:30;2.448,75;2.448,75;0,00;2.071,50
16.06.2024 21:30;16.06.2024 21:45;2.486,00;2.486,00;0,00;2.109,25
16.06.2024 21:45;16.06.2024 22:00;2.469,75;2.469,75;0,00;2.123,25
16.06.2024 22:00;16.06.2024 22:15;2.531,75;2.531,75;0,00;2.215,00
16.06.2024 22:15;16.06.2024 22:30;2.492,50;2.492,50;0,00;2.179,25
16.06.2024 22:30;16.06.2024 22:45;2.435,75;2.435,75;0,00;2.130,75
16.06.2024 22:45;16.06.2024 23:00;2.468,75;2.468,75;0,00;2.178,00
16.06.2024 23:00;16.06.2024 23:15;2.446,25;2.446,25;0,00;2.155,50
16.06.2024 23:15;16.06.2024 23:30;2.411,50;2.411,50;0,00;2.123,00
16.06.2024 23:30;16.06.2024 23:45;2.366,00;2.366,00;0,00;2.082,75
16.06.2024 23:45;17.06.2024 00:00;2.359,50;2.359,50;0,00;2.062,50
17.06.2024 00:00;17.06.2024 00:15;2.304,25;2.305,50;1,25;1.984,00
17.06.2024 00:15;17.06.2024 00:30;2.316,75;2.317,75;1,00;1.956,75
17.06.2024 00:30;17.06.2024 00:45;2.277,00;2.280,25;3,25;1.923,50
17.06.2024 00:45;17.06.2024 01:00;2.208,25;2.211,25;3,00;1.859,25
17.06.2024 01:00;17.06.2024 01:15;2.168,75;2.171,75;3,00;1.809,25
17.06.2024 01:15;17.06.2024 01:30;2.144,00;2.146,00;2,00;1.776,25
17.06.2024 01:30;17.06.2024 01:45;2.138,25;2.139,50;1,25;1.759,50
17.06.2024 01:45;17.06.2024 02:00;2.140,00;2.143,75;3,75;1.744,25
17.06.2024 02:00;17.06.2024 02:15;2.139,25;2.208,00;68,75;1.752,75
17.06.2024 02:15;17.06.2024 02:30;2.145,25;2.224,75;79,50;1.757,25
17.06.2024 02:30;17.06.2024 02:45;2.125,00;2.201,25;76,25;1.738,50
17.06.2024 02:45;17.06.2024 03:00;2.125,50;2.223,25;97,75;1.726,00
17.06.2024 03:00;17.06.2024 03:15;2.134,50;2.384,00;249,50;1.739,00
17.06.2024 03:15;17.06.2024 03:30;2.147,75;2.401,00;253,25;1.740,50
17.06.2024 03:30;17.06.2024 03:45;2.153,25;2.406,50;253,25;1.735,75
17.06.2024 03:45;17.06.2024 04:00;2.163,00;2.417,75;254,75;1.747,00
17.06.2024 04:00;17.06.2024 04:15;2.211,00;2.391,25;180,25;1.804,25
17.06.2024 04:15;17.06.2024 04:30;2.213,00;2.390,75;177,75;1.827,00
17.06.2024 04:30;17.06.2024 04:45;2.188,25;2.364,50;176,25;1.808,00
17.06.2024 04:45;17.06.2024 05:00;2.219,50;2.366,00;146,50;1.837,50
17.06.2024 05:00;17.06.2024 05:15;2.297,75;2.309,50;11,75;1.907,25
17.06.2024 05:15;17.06.2024 05:30;2.293,25;2.296,50;3,25;1.893,75
17.06.2024 05:30;17.06.2024 05:45;2.373,00;2.373,50;0,50;1.959,50
17.06.2024 05:45;17.06.2024 06:00;2.417,00;2.417,25;0,25;1.965,25
17.06.2024 06:00;17.06.2024 06:15;2.542,25;2.542,25;0,00;2.033,75
17.06.2024 06:15;17.06.2024 06:30;2.602,50;2.602,50;0,00;2.031,25
17.06.2024 06:30;17.06.2024 06:45;2.682,00;2.682,00;0,00;2.047,75
17.06.2024 06:45;17.06.2024 07:00;2.769,00;2.769,00;0,00;2.048,00
17.06.2024 07:00;17.06.2024 07:15;2.864,75;2.864,75;0,00;2.072,00
17.06.2024 07:15;17.06.2024 07:30;2.926,25;2.926,25;0,00;2.078,25
17.06.2024 07:30;17.06.2024 07:45;2.940,00;2.940,00;0,00;2.017,75
17.06.2024 07:45;17.06.2024 08:00;2.995,25;2.995,25;0,00;1.980,50
17.06.2024 08:00;17.06.2024 08:15;3.022,50;3.022,50;0,00;1.908,00
17.06.2024 08:15;17.06.2024 08:30;3.067,00;3.067,00;0,00;1.842,00
17.06.2024 08:30;17.06.2024 08:45;3.110,00;3.110,00;0,00;1.794,75
17.06.2024 08:45;17.06.2024 09:00;3.145,75;3.146,00;0,25;1.728,25
17.06.2024 09:00;17.06.2024 09:15;3.134,25;3.134,50;0,25;1.622,50
17.06.2024 09:15;17.06.2024 09:30;3.127,50;3.129,00;1,50;1.503,25
17.06.2024 09:30;17.06.2024 09:45;3.127,00;3.128,50;1,50;1.383,50
17.06.2024 09:45;17.06.2024 10:00;3.143,75;3.150,75;7,00;1.299,00
17.06.2024 10:00;17.06.2024 10:15;3.102,75;3.235,50;132,75;1.162,25
17.06.2024 10:15;17.06.2024 10:30;3.066,50;3.250,00;183,50;1.020,00
17.06.2024 10:30;17.06.2024 10:45;3.028,50;3.279,75;251,25;903,00
17.06.2024 10:45;17.06.2024 11:00;3.030,00;3.376,50;346,50;847,75
17.06.2024 11:00;17.06.2024 11:15;3.063,25;3.482,25;419,00;787,25
17.06.2024 11:15;17.06.2024 11:30;3.091,75;3.512,50;420,75;765,25
17.06.2024 11:30;17.06.2024 11:45;3.093,00;3.514,50;421,50;693,00
17.06.2024 11:45;17.06.2024 12:00;3.067,50;3.488,00;420,50;643,25
17.06.2024 12:00;17.06.2024 12:15;3.052,25;3.439,00;386,75;625,00
17.06.2024 12:15;17.06.2024 12:30;3.066,00;3.435,50;369,50;638,75
17.06.2024 12:30;17.06.2024 12:45;3.040,50;3.410,75;370,25;573,50
17.06.2024 12:45;17.06.2024 13:00;3.046,50;3.420,75;374,25;534,75
17.06.2024 13:00;17.06.2024 13:15;3.010,50;3.396,25;385,75;371,00
17.06.2024 13:15;17.06.2024 13:30;2.979,75;3.359,00;379,25;230,00
17.06.2024 13:30;17.06.2024 13:45;2.914,50;3.281,00;366,50;134,00
17.06.2024 13:45;17.06.2024 14:00;2.865,00;3.241,75;376,75;49,75
17.06.2024 14:00;17.06.2024 14:15;2.875,00;3.253,50;378,50;-6,75
17.06.2024 14:15;17.06.2024 14:30;2.945,75;3.312,25;366,50;64,75
17.06.2024 14:30;17.06.2024 14:45;2.947,75;3.308,75;361,00;-10,50
17.06.2024 14:45;17.06.2024 15:00;2.919,75;3.281,25;361,50;-27,50
17.06.2024 15:00;17.06.2024 15:15;2.864,00;3.223,00;359,00;-97,75
17.06.2024 15:15;17.06.2024 15:30;2.888,75;3.247,25;358,50;-113,25
17.06.2024 15:30;17.06.2024 15:45;2.902,00;3.259,75;357,75;-17,75
17.06.2024 15:45;17.06.2024 16:00;2.904,00;3.262,25;358,25;103,50
17.06.2024 16:00;17.06.2024 16:15;2.921,00;3.263,25;342,25;200,00
17.06.2024 16:15;17.06.2024 16:30;2.902,25;3.194,25;292,00;281,75
17.06.2024 16:30;17.06.2024 16:45;2.897,75;3.134,75;237,00;388,50
17.06.2024 16:45;17.06.2024 17:00;2.901,50;3.093,00;191,50;580,25
17.06.2024 17:00;17.06.2024 17:15;2.941,00;3.052,50;111,50;749,50
17.06.2024 17:15;17.06.2024 17:30;3.011,75;3.066,00;54,25;937,50
17.06.2024 17:30;17.06.2024 17:45;3.015,25;3.017,00;1,75;1.134,25
17.06.2024 17:45;17.06.2024 18:00;3.026,50;3.028,25;1,75;1.259,50
17.06.2024 18:00;17.06.2024 18:15;3.073,75;3.074,00;0,25;1.494,00
17.06.2024 18:15;17.06.2024 18:30;3.063,75;3.064,00;0,25;1.702,00
17.06.2024 18:30;17.06.2024 18:45;3.074,50;3.074,75;0,25;1.897,50
17.06.2024 18:45;17.06.2024 19:00;3.030,00;3.030,25;0,25;1.991,50
17.06.2024 19:00;17.06.2024 19:15;3.005,25;3.005,50;0,25;2.093,25
17.06.2024 19:15;17.06.2024 19:30;2.999,50;2.999,75;0,25;2.216,25
17.06.2024 19:30;17.06.2024 19:45;2.997,25;2.997,25;0,00;2.335,00
17.06.2024 19:45;17.06.2024 20:00;2.993,75;2.993,75;0,00;2.453,25
17.06.2024 20:00;17.06.2024 20:15;2.990,50;2.990,50;0,00;2.564,75
17.06.2024 20:15;17.06.2024 20:30;2.952,75;2.952,75;0,00;2.594,25
17.06.2024 20:30;17.06.2024 20:45;2.939,25;2.939,25;0,00;2.658,50
17.06.2024 20:45;17.06.2024 21:00;2.890,25;2.890,25;0,00;2.670,75
17.06.2024 21:00;17.06.2024 21:15;2.844,75;2.844,75;0,00;2.674,25
17.06.2024 21:15;17.06.2024 21:30;2.819,75;2.819,75;0,00;2.679,50
17.06.2024 21:30;17.06.2024 21:45;2.798,00;2.798,00;0,00;2.674,25
17.06.2024 21:45;17.06.2024 22:00;2.767,00;2.767,00;0,00;2.651,75
17.06.2024 22:00;17.06.2024 22:15;2.736,25;2.736,25;0,00;2.632,00
17.06.2024 22:15;17.06.2024 22:30;2.708,50;2.708,50;0,00;2.602,25
17.06.2024 22:30;17.06.2024 22:45;2.682,00;2.682,00;0,00;2.570,50
17.06.2024 22:45;17.06.2024 23:00;2.636,25;2.636,25;0,00;2.522,25
17.06.2024 23:00;17.06.2024 23:15;2.602,00;2.602,00;0,00;2.481,25
17.06.2024 23:15;17.06.2024 23:30;2.526,75;2.526,75;0,00;2.403,75
17.06.2024 23:30;17.06.2024 23:45;2.467,25;2.467,25;0,00;2.333,00
17.06.2024 23:45;18.06.2024 00:00;2.451,75;2.451,75;0,00;2.306,25
18.06.2024 00:00;18.06.2024 00:15;2.420,50;2.420,75;0,25;2.246,75
18.06.2024 00:15;18.06.2024 00:30;2.414,50;2.415,75;1,25;2.228,75
18.06.2024 00:30;18.06.2024 00:45;2.379,75;2.382,00;2,25;2.191,50
18.06.2024 00:45;18.06.2024 01:00;2.331,50;2.333,75;2,25;2.141,25
18.06.2024 01:00;18.06.2024 01:15;2.350,25;2.352,50;2,25;2.145,00
18.06.2024 01:15;18.06.2024 01:30;2.345,25;2.347,75;2,50;2.134,75
18.06.2024 01:30;18.06.2024 01:45;2.289,75;2.292,00;2,25;2.081,50
18.06.2024 01:45;18.06.2024 02:00;2.276,00;2.280,00;4,00;2.068,00
18.06.2024 02:00;18.06.2024 02:15;2.276,00;2.350,75;74,75;2.066,00
18.06.2024 02:15;18.06.2024 02:30;2.288,25;2.367,00;78,75;2.068,00
18.06.2024 02:30;18.06.2024 02:45;2.270,00;2.348,50;78,50;2.043,00
18.06.2024 02:45;18.06.2024 03:00;2.283,25;2.363,50;80,25;2.052,00
18.06.2024 03:00;18.06.2024 03:15;2.284,75;2.371,00;86,25;2.049,50
18.06.2024 03:15;18.06.2024 03:30;2.255,25;2.339,25;84,00;2.016,50
18.06.2024 03:30;18.06.2024 03:45;2.255,00;2.290,25;35,25;2.015,25
18.06.2024 03:45;18.06.2024 04:00;2.290,75;2.324,00;33,25;2.052,50
18.06.2024 04:00;18.06.2024 04:15;2.318,75;2.322,25;3,50;2.075,50
18.06.2024 04:15;18.06.2024 04:30;2.313,50;2.315,75;2,25;2.063,25
18.06.2024 04:30;18.06.2024 04:45;2.295,50;2.298,00;2,50;2.035,50
18.06.2024 04:45;18.06.2024 05:00;2.329,75;2.332,25;2,50;2.067,75
18.06.2024 05:00;18.06.2024 05:15;2.407,75;2.410,00;2,25;2.130,50
18.06.2024 05:15;18.06.2024 05:30;2.441,00;2.443,25;2,25;2.163,25
18.06.2024 05:30;18.06.2024 05:45;2.479,00;2.481,25;2,25;2.199,00
18.06.2024 05:45;18.06.2024 06:00;2.529,50;2.531,75;2,25;2.204,50
18.06.2024 06:00;18.06.2024 06:15;2.674,50;2.675,50;1,00;2.296,75
18.06.2024 06:15;18.06.2024 06:30;2.753,75;2.754,00;0,25;2.315,75
18.06.2024 06:30;18.06.2024 06:45;2.810,50;2.810,75;0,25;2.276,00
18.06.2024 06:45;18.06.2024 07:00;2.880,25;2.880,25;0,00;2.212,50
18.06.2024 07:00;18.06.2024 07:15;2.978,75;2.978,75;0,00;2.184,25
18.06.2024 07:15;18.06.2024 07:30;3.006,75;3.006,75;0,00;2.097,00
18.06.2024 07:30;18.06.2024 07:45;3.056,75;3.056,75;0,00;2.033,25
18.06.2024 07:45;18.06.2024 08:00;3.089,25;3.089,25;0,00;1.926,00
18.06.2024 08:00;18.06.2024 08:15;3.148,00;3.148,00;0,00;1.810,50
18.06.2024 08:15;18.06.2024 08:30;3.152,00;3.152,00;0,00;1.629,75
18.06.2024 08:30;18.06.2024 08:45;3.187,75;3.188,00;0,25;1.483,25
18.06.2024 08:45;18.06.2024 09:00;3.155,75;3.157,00;1,25;1.278,00
18.06.2024 09:00;18.06.2024 09:15;3.163,25;3.211,00;47,75;1.117,25
18.06.2024 09:15;18.06.2024 09:30;3.106,50;3.201,25;94,75;901,50
18.06.2024 09:30;18.06.2024 09:45;3.099,00;3.243,75;144,75;730,00
18.06.2024 09:45;18.06.2024 10:00;3.077,75;3.238,75;161,00;590,75
18.06.2024 10:00;18.06.2024 10:15;3.059,50;3.324,75;265,25;457,75
18.06.2024 10:15;18.06.2024 10:30;3.061,00;3.346,00;285,00;384,25
18.06.2024 10:30;18.06.2024 10:45;3.055,25;3.341,25;286,00;330,00
18.06.2024 10:45;18.06.2024 11:00;3.072,00;3.360,00;288,00;311,50
18.06.2024 11:00;18.06.2024 11:15;2.991,75;3.279,50;287,75;193,50
18.06.2024 11:15;18.06.2024 11:30;3.038,25;3.326,00;287,75;229,50
18.06.2024 11:30;18.06.2024 11:45;3.034,50;3.321,75;287,25;181,25
18.06.2024 11:45;18.06.2024 12:00;3.041,25;3.330,50;289,25;167,25
18.06.2024 12:00;18.06.2024 12:15;3.066,50;3.353,00;286,50;172,50
18.06.2024 12:15;18.06.2024 12:30;3.046,50;3.296,00;249,50;167,50
18.06.2024 12:30;18.06.2024 12:45;3.014,75;3.300,00;285,25;131,25
18.06.2024 12:45;18.06.2024 13:00;3.004,00;3.293,00;289,00;113,25
18.06.2024 13:00;18.06.2024 13:15;2.988,25;3.318,00;329,75;139,50
18.06.2024 13:15;18.06.2024 13:30;2.973,00;3.311,75;338,75;144,75
18.06.2024 13:30;18.06.2024 13:45;2.933,50;3.309,25;375,75;161,00
18.06.2024 13:45;18.06.2024 14:00;2.888,00;3.166,50;278,50;160,50
18.06.2024 14:00;18.06.2024 14:15;2.897,25;3.236,00;338,75;243,25
18.06.2024 14:15;18.06.2024 14:30;2.882,00;3.225,25;343,25;308,50
18.06.2024 14:30;18.06.2024 14:45;2.911,75;3.234,75;323,00;412,25
18.06.2024 14:45;18.06.2024 15:00;2.989,00;3.308,00;319,00;594,00
18.06.2024 15:00;18.06.2024 15:15;3.065,75;3.384,25;318,50;746,50
18.06.2024 15:15;18.06.2024 15:30;3.070,50;3.341,75;271,25;831,25
18.06.2024 15:30;18.06.2024 15:45;3.088,75;3.361,50;272,75;975,00
18.06.2024 15:45;18.06.2024 16:00;3.084,25;3.308,00;223,75;1.109,00
18.06.2024 16:00;18.06.2024 16:15;3.065,75;3.216,75;151,00;1.211,25
18.06.2024 16:15;18.06.2024 16:30;3.067,00;3.211,75;144,75;1.324,25
18.06.2024 16:30;18.06.2024 16:45;3.049,00;3.193,50;144,50;1.492,75
18.06.2024 16:45;18.06.2024 17:00;3.068,25;3.212,50;144,25;1.674,50
18.06.2024 17:00;18.06.2024 17:15;3.094,50;3.102,50;8,00;1.842,25
18.06.2024 17:15;18.06.2024 17:30;3.072,75;3.073,25;0,50;1.934,50
18.06.2024 17:30;18.06.2024 17:45;3.084,00;3.084,50;0,50;2.065,75
18.06.2024 17:45;18.06.2024 18:00;3.091,00;3.091,00;0,00;2.117,00
18.06.2024 18:00;18.06.2024 18:15;3.150,00;3.150,25;0,25;2.207,00
18.06.2024 18:15;18.06.2024 18:30;3.161,75;3.162,00;0,25;2.215,25
18.06.2024 18:30;18.06.2024 18:45;3.173,00;3.173,00;0,00;2.256,50
18.06.2024 18:45;18.06.2024 19:00;3.185,75;3.185,75;0,00;2.298,25
18.06.2024 19:00;18.06.2024 19:15;3.126,25;3.126,25;0,00;2.311,75
18.06.2024 19:15;18.06.2024 19:30;3.077,25;3.077,25;0,00;2.323,50
18.06.2024 19:30;18.06.2024 19:45;3.064,75;3.064,75;0,00;2.338,00
18.06.2024 19:45;18.06.2024 20:00;3.058,00;3.058,00;0,00;2.382,00
18.06.2024 20:00;18.06.2024 20:15;3.017,25;3.017,25;0,00;2.350,25
18.06.2024 20:15;18.06.2024 20:30;2.960,75;2.960,75;0,00;2.340,00
18.06.2024 20:30;18.06.2024 20:45;2.966,75;2.966,75;0,00;2.372,75
18.06.2024 20:45;18.06.2024 21:00;2.917,25;2.917,25;0,00;2.330,75
18.06.2024 21:00;18.06.2024 21:15;2.851,50;2.851,50;0,00;2.281,00
18.06.2024 21:15;18.06.2024 21:30;2.854,25;2.854,25;0,00;2.249,25
18.06.2024 21:30;18.06.2024 21:45;2.838,00;2.838,00;0,00;2.224,00
18.06.2024 21:45;18.06.2024 22:00;2.801,25;2.801,50;0,25;2.165,00
18.06.2024 22:00;18.06.2024 22:15;2.766,25;2.766,25;0,00;2.061,25
18.06.2024 22:15;18.06.2024 22:30;2.751,00;2.751,00;0,00;2.062,50
18.06.2024 22:30;18.06.2024 22:45;2.709,00;2.709,00;0,00;2.095,25
18.06.2024 22:45;18.06.2024 23:00;2.673,00;2.673,25;0,25;2.070,50
18.06.2024 23:00;18.06.2024 23:15;2.635,25;2.638,00;2,75;2.045,50
18.06.2024 23:15;18.06.2024 23:30;2.595,00;2.597,25;2,25;1.999,75
18.06.2024 23:30;18.06.2024 23:45;2.528,75;2.532,25;3,50;1.906,75
18.06.2024 23:45;19.06.2024 00:00;2.495,75;2.547,75;52,00;1.885,00
19.06.2024 00:00;19.06.2024 00:15;2.435,00;2.440,75;5,75;1.818,75
19.06.2024 00:15;19.06.2024 00:30;2.422,25;2.425,50;3,25;1.822,50
19.06.2024 00:30;19.06.2024 00:45;2.397,25;2.449,25;52,00;1.817,50
19.06.2024 00:45;19.06.2024 01:00;2.345,50;2.399,25;53,75;1.779,50
19.06.2024 01:00;19.06.2024 01:15;2.358,25;2.362,75;4,50;1.763,25
19.06.2024 01:15;19.06.2024 01:30;2.355,25;2.358,75;3,50;1.726,75
19.06.2024 01:30;19.06.2024 01:45;2.321,50;2.324,75;3,25;1.681,75
19.06.2024 01:45;19.06.2024 02:00;2.301,00;2.304,75;3,75;1.621,75
19.06.2024 02:00;19.06.2024 02:15;2.306,25;2.333,00;26,75;1.595,25
19.06.2024 02:15;19.06.2024 02:30;2.290,00;2.356,75;66,75;1.544,75
19.06.2024 02:30;19.06.2024 02:45;2.290,00;2.377,00;87,00;1.501,50
19.06.2024 02:45;19.06.2024 03:00;2.296,00;2.392,25;96,25;1.467,00
19.06.2024 03:00;19.06.2024 03:15;2.315,25;2.507,50;192,25;1.463,75
19.06.2024 03:15;19.06.2024 03:30;2.301,50;2.517,25;215,75;1.490,75
19.06.2024 03:30;19.06.2024 03:45;2.303,75;2.520,50;216,75;1.518,50
19.06.2024 03:45;19.06.2024 04:00;2.295,00;2.514,75;219,75;1.529,25
19.06.2024 04:00;19.06.2024 04:15;2.336,75;2.560,25;223,50;1.624,25
19.06.2024 04:15;19.06.2024 04:30;2.370,50;2.574,00;203,50;1.736,50
19.06.2024 04:30;19.06.2024 04:45;2.379,00;2.583,75;204,75;1.808,75
19.06.2024 04:45;19.06.2024 05:00;2.355,25;2.530,50;175,25;1.818,75
19.06.2024 05:00;19.06.2024 05:15;2.409,00;2.424,50;15,50;1.906,00
19.06.2024 05:15;19.06.2024 05:30;2.454,25;2.457,00;2,75;1.980,25
19.06.2024 05:30;19.06.2024 05:45;2.519,00;2.522,25;3,25;2.042,75
19.06.2024 05:45;19.06.2024 06:00;2.570,25;2.573,50;3,25;2.089,75
19.06.2024 06:00;19.06.2024 06:15;2.695,50;2.695,75;0,25;2.221,75
19.06.2024 06:15;19.06.2024 06:30;2.761,25;2.761,50;0,25;2.284,50
19.06.2024 06:30;19.06.2024 06:45;2.828,75;2.829,00;0,25;2.336,75
19.06.2024 06:45;19.06.2024 07:00;2.878,25;2.878,25;0,00;2.361,75
19.06.2024 07:00;19.06.2024 07:15;2.944,50;2.944,50;0,00;2.401,00
19.06.2024 07:15;19.06.2024 07:30;3.018,50;3.018,50;0,00;2.434,00
19.06.2024 07:30;19.06.2024 07:45;3.058,00;3.058,00;0,00;2.423,50
19.06.2024 07:45;19.06.2024 08:00;3.104,50;3.104,50;0,00;2.404,00
19.06.2024 08:00;19.06.2024 08:15;3.162,75;3.162,75;0,00;2.408,00
19.06.2024 08:15;19.06.2024 08:30;3.170,50;3.170,50;0,00;2.378,50
19.06.2024 08:30;19.06.2024 08:45;3.175,00;3.176,00;1,00;2.326,75
19.06.2024 08:45;19.06.2024 09:00;3.220,00;3.222,00;2,00;2.299,75
19.06.2024 09:00;19.06.2024 09:15;3.216,50;3.255,50;39,00;2.222,50
19.06.2024 09:15;19.06.2024 09:30;3.238,75;3.290,00;51,25;2.166,50
19.06.2024 09:30;19.06.2024 09:45;3.247,25;3.298,75;51,50;2.105,00
19.06.2024 09:45;19.06.2024 10:00;3.286,50;3.337,75;51,25;2.077,50
19.06.2024 10:00;19.06.2024 10:15;3.305,50;3.356,75;51,25;2.034,50
19.06.2024 10:15;19.06.2024 10:30;3.245,25;3.265,00;19,75;1.899,00
19.06.2024 10:30;19.06.2024 10:45;3.250,25;3.283,50;33,25;1.866,50
19.06.2024 10:45;19.06.2024 11:00;3.267,00;3.322,50;55,50;1.851,00
19.06.2024 11:00;19.06.2024 11:15;3.246,50;3.370,75;124,25;1.809,75
19.06.2024 11:15;19.06.2024 11:30;3.303,00;3.445,25;142,25;1.836,50
19.06.2024 11:30;19.06.2024 11:45;3.294,00;3.456,50;162,50;1.813,75
19.06.2024 11:45;19.06.2024 12:00;3.276,25;3.472,75;196,50;1.792,25
19.06.2024 12:00;19.06.2024 12:15;3.240,00;3.463,00;223,00;1.761,00
19.06.2024 12:15;19.06.2024 12:30;3.224,00;3.476,50;252,50;1.762,25
19.06.2024 12:30;19.06.2024 12:45;3.224,00;3.486,50;262,50;1.731,25
19.06.2024 12:45;19.06.2024 13:00;3.216,00;3.514,00;298,00;1.723,00
19.06.2024 13:00;19.06.2024 13:15;3.221,50;3.525,00;303,50;1.726,00
19.06.2024 13:15;19.06.2024 13:30;3.236,00;3.543,00;307,00;1.739,50
19.06.2024 13:30;19.06.2024 13:45;3.211,75;3.558,75;347,00;1.693,50
19.06.2024 13:45;19.06.2024 14:00;3.168,50;3.531,25;362,75;1.676,25
